GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH20-01-02,01,03,22000,25000,28000,370,22000,25000,28000,320,NA,NA,NA,NA,20000,24000,28000,45,NA,NA,NA,NA
CAH20-01-02,02,04,56000,60000,67000,15,56000,60000,67000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-03,01,03,21000,23000,25000,355,21500,23500,25500,310,NA,NA,NA,NA,19000,21500,22500,25,20000,21000,23000,10
CAH20-01-03,02,03,21500,35000,52000,15,23500,35000,52000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-03,02,04,38500,70000,108000,15,38500,70000,108000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-05,01,03,22000,25000,30000,495,22000,25500,30000,455,NA,NA,NA,NA,20000,24500,33000,30,20000,22500,23500,10
CAH20-01-05,02,03,25000,30000,34500,60,25000,30000,34000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02,01,03,22000,26000,30000,2235,22500,26000,30000,2010,21000,22000,25000,20,21000,24000,28000,140,20000,24000,27000,55
CAH20-02,01,04,15000,25000,27000,65,22000,25000,27000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02,02,03,24000,28000,40000,100,24000,28000,40000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02,02,04,19000,27000,38000,55,22000,27000,38500,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-01,01,03,22000,26000,31000,1495,22500,26000,31500,1375,NA,NA,NA,NA,21000,25000,29000,80,19000,23000,27000,30
CAH20-02-01,02,03,25000,29000,42000,30,24500,28000,42000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-02,01,03,22000,25000,28500,740,22500,25500,29500,630,21000,22000,25000,15,20000,24000,28000,60,21500,24000,27000,30
CAH20-02-02,01,04,20000,25000,27000,60,24000,25500,27000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-02,02,03,24000,27500,40000,70,24000,28000,40000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-02,02,04,18000,25500,37000,50,19000,25500,37000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH22,01,03,23000,27000,30000,10225,23000,27000,29000,8645,22000,24000,25000,230,28000,32500,37000,915,18000,26000,28000,415
CAH22,01,04,19000,25000,29000,1935,19000,25000,28500,1850,NA,NA,NA,NA,36000,42000,43000,15,19000,27500,30000,75
CAH22,02,03,23000,28000,30000,1385,22000,26000,29000,1040,22000,30000,48000,30,27000,32000,36500,290,18500,22000,25000,30
CAH22,02,04,23000,29000,35000,2180,22500,28000,35000,1735,28000,32500,35000,95,30000,40000,45000,130,24000,29000,35000,215
CAH22-01,01,03,23000,27000,30000,10225,23000,27000,29000,8645,22000,24000,25000,230,28000,32500,37000,915,18000,26000,28000,415
CAH22-01,01,04,19000,25000,29000,1935,19000,25000,28500,1850,NA,NA,NA,NA,36000,42000,43000,15,19000,27500,30000,75
CAH22-01,02,03,23000,28000,30000,1385,22000,26000,29000,1040,22000,30000,48000,30,27000,32000,36500,290,18500,22000,25000,30
CAH22-01,02,04,23000,29000,35000,2180,22500,28000,35000,1735,28000,32500,35000,95,30000,40000,45000,130,24000,29000,35000,215
CAH22-01-01,01,03,20000,25000,28000,3910,20000,25000,28000,3590,19000,20000,22500,15,23000,26500,28500,75,17000,21500,27000,220
CAH22-01-01,01,04,16000,20000,25000,895,16000,20000,25000,870,NA,NA,NA,NA,NA,NA,NA,NA,15000,21000,28000,25
CAH22-01-01,02,03,22000,26500,30000,1040,21000,26000,28500,800,12500,22000,35000,10,28000,32000,37000,205,18500,24000,25000,25
CAH22-01-01,02,04,18000,25000,35000,770,17000,23000,33000,535,29000,33000,35000,90,26000,38000,44500,100,13000,21500,32000,45
CAH22-01-02,01,03,25000,28000,30000,6315,25000,28000,29000,5055,22000,24000,25000,215,28500,33000,37000,840,25500,27000,29000,195
CAH22-01-02,01,04,23500,28000,31000,1040,23500,28000,31000,980,NA,NA,NA,NA,36000,43000,44000,10,23000,27500,30000,50
CAH22-01-02,02,03,25500,28000,32000,345,25000,28000,30000,240,28000,35000,48000,15,27000,32000,33500,85,NA,NA,NA,NA
CAH22-01-02,02,04,26000,30000,35000,1405,25000,30000,35000,1200,NA,NA,NA,NA,37000,40000,45000,30,26000,29500,36500,170
CAH23,01,03,24000,27000,30500,710,24000,27000,31000,640,15500,22000,28000,25,23000,28000,30500,35,NA,NA,NA,NA
