GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH02,01,03,25000,27000,30000,38050,25000,27000,30000,30515,24000,25000,27000,1400,26000,26500,30000,3820,25000,27000,28000,2260
CAH02,01,04,25000,27000,32000,1515,24500,27000,31000,1235,NA,NA,NA,NA,30000,34000,38000,185,25000,26000,27000,90
CAH02,02,03,26000,32000,40000,2785,27000,32000,40000,2275,25000,26000,33000,150,28500,35500,45000,245,26000,29000,36000,115
CAH02,02,04,27000,32000,38000,1415,27000,32500,38500,1045,29000,40000,45000,65,27000,33500,37500,125,24000,27500,33500,175
CAH02-02,01,03,25000,33000,39500,2425,25000,33000,39000,1985,25000,33000,40000,80,26000,33000,42000,265,27000,33000,36000,90
CAH02-02,02,03,22000,26000,40000,15,22000,26500,43000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02,02,04,40000,45000,56000,20,40000,45000,56000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02-01,01,03,23000,26000,30000,580,23500,27000,31000,460,22000,26000,28500,15,23500,26000,29000,85,18000,25000,27000,20
CAH02-02-03,01,03,30000,35000,41000,1840,28500,35000,40000,1520,30000,35000,40000,65,32500,38000,45000,180,32000,35000,36000,75
CAH02-02-03,02,03,22000,26500,43000,10,22000,26500,43000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02-03,02,04,40000,45000,56000,20,40000,45000,56000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04,01,03,25500,27000,28500,19855,25500,27000,29000,15280,24000,25000,27000,795,26000,26000,30000,2445,25000,27000,28000,1310
CAH02-04,01,04,24000,27000,32000,275,24000,27000,33500,230,NA,NA,NA,NA,26000,27500,30000,30,NA,NA,NA,NA
CAH02-04,02,03,26000,32000,40000,1850,27000,31500,39000,1435,25000,26000,32000,115,29000,37000,45000,205,26000,28000,36000,85
CAH02-04,02,04,30000,34500,40000,750,31000,35000,40000,550,37000,41000,45000,40,31000,36000,37500,75,22000,24000,33000,80
CAH02-04-01,01,03,25500,27000,28500,765,25500,27000,30500,330,NA,NA,NA,NA,NA,NA,NA,NA,25500,27000,28000,420
CAH02-04-01,01,04,22000,24000,26500,100,21000,24000,25000,75,NA,NA,NA,NA,26500,28000,30000,20,NA,NA,NA,NA
CAH02-04-01,02,03,33000,40000,45500,675,33000,40000,45000,485,32000,41500,45000,30,35000,40000,46500,125,27500,34000,41000,35
CAH02-04-01,02,04,28000,35000,40000,420,30000,35500,40000,280,37000,41500,45000,35,30000,36000,38000,50,21000,23000,25000,55
CAH02-04-02,01,03,25000,27000,28000,10675,25000,27000,28000,8045,24000,25000,27000,510,26000,26000,29000,1585,25000,27000,27000,535
CAH02-04-02,02,03,25000,26000,28000,620,25000,27000,28000,465,24500,25000,27000,55,26000,30000,37000,70,25500,26000,27000,30
CAH02-04-02,02,04,32000,39000,46000,50,32000,39000,46000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,01,03,33000,36000,40000,275,33000,36000,40500,250,32000,35000,38000,15,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,01,04,33500,35000,36000,45,33500,35000,36000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,02,03,32000,36000,40000,70,32000,35000,38000,50,NA,NA,NA,NA,NA,NA,NA,NA,32000,36000,40000,15
CAH02-04-03,02,04,30000,35000,37500,65,25500,30000,36500,35,NA,NA,NA,NA,35000,35000,37500,20,34000,34000,40000,15
CAH02-04-04,01,03,25500,27500,32000,2360,25500,27500,32000,2015,25000,25500,27500,50,26000,28000,32500,185,25000,27000,32000,100
CAH02-04-04,01,04,25000,27500,28000,15,NA,NA,NA,NA,NA,NA,NA,NA,24000,27500,27500,10,NA,NA,NA,NA
CAH02-04-04,02,03,26000,30000,33500,90,27000,31000,34000,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-05,01,03,25000,27000,28000,2195,25500,27000,28000,1810,25000,25000,27000,70,25000,26000,26500,230,25000,27000,27000,85
CAH02-04-05,02,03,25000,27000,29000,60,25000,27000,29000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-06,01,03,30000,42000,60000,15,30000,42000,60000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-06,01,04,19000,22000,25000,15,19000,22000,25000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,01,03,26000,27500,31000,3050,26000,28000,32000,2410,24000,25500,27000,100,26000,26500,30000,375,25500,27000,29000,165
CAH02-04-07,01,04,25500,27000,30000,75,25500,27000,30000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,02,03,25500,28000,33500,150,26500,29000,33500,115,24000,25000,26000,20,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,02,04,25000,33000,37000,15,21000,25000,35000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-08,01,03,25500,27000,29000,420,25500,27000,30000,310,25000,26000,28000,40,26000,26000,30000,70,NA,NA,NA,NA
CAH02-04-08,02,03,26000,28000,31000,15,27000,29000,31500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,01,03,26000,28000,32500,100,26000,28000,32000,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,01,04,26000,34000,39000,20,26000,34000,39000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,02,03,34000,36000,41500,170,34000,36000,42000,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,02,04,32000,34000,38000,190,32000,34000,38000,175,NA,NA,NA,NA,NA,NA,NA,NA,33000,33000,33500,10
CAH02-05,01,03,23000,27000,29500,6535,23000,27000,29500,5520,23000,25000,27000,245,23500,26500,30000,505,25000,27000,28000,255
CAH02-05,01,04,24000,27000,32000,45,24000,28000,34000,25,NA,NA,NA,NA,26000,30000,30000,10,NA,NA,NA,NA
CAH02-05,02,03,24000,27500,32500,200,24000,27500,33000,170,21500,25000,27000,15,27500,28000,32000,15,NA,NA,NA,NA
CAH02-05,02,04,25000,28000,32500,105,25000,28500,35500,70,NA,NA,NA,NA,25000,27500,30000,15,25000,25500,28000,10
CAH02-05-01,01,03,27000,28000,30000,1540,27000,28000,30000,1225,25000,25500,27000,75,27000,30000,30500,125,26500,27000,28500,115
CAH02-05-01,01,04,24000,24000,28500,10,24000,24000,28500,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-01,02,03,25500,28000,28500,15,25500,28000,28500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-01,02,04,24000,26000,28500,20,NA,NA,NA,NA,NA,NA,NA,NA,19000,25000,27500,10,NA,NA,NA,NA
CAH02-05-02,01,03,26000,28500,34500,240,27000,29000,35000,210,NA,NA,NA,NA,NA,NA,NA,NA,25000,27000,28000,25
CAH02-05-02,01,04,25000,28000,34000,30,28000,34000,45000,15,NA,NA,NA,NA,26000,30000,30000,10,NA,NA,NA,NA
CAH02-05-02,02,03,34000,42000,45000,35,34000,42000,45000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-02,02,04,28000,36000,40000,35,35000,39000,42000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-03,01,03,22000,25000,29000,4190,22000,25000,28500,3650,22000,25000,27000,135,22500,26000,30000,325,22000,24000,27000,65
CAH02-05-03,02,03,22500,26500,29000,140,22500,26000,29000,115,21500,25000,27000,15,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-03,02,04,25000,27000,30000,50,24000,26000,31000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-04,01,03,23000,26000,30000,560,23000,27000,31000,435,22000,25500,27000,25,21000,23000,27000,55,25000,27000,28500,45
CAH02-06,01,03,25000,27000,29000,9235,25000,27000,28500,7735,24000,26000,27000,280,26000,30000,30000,600,25000,27000,28500,600
CAH02-06,01,04,25000,27000,32000,1200,25000,27000,30000,975,NA,NA,NA,NA,33000,36000,40000,145,25000,26500,27000,80
CAH02-06,02,03,27000,34000,42000,720,27000,33000,42000,655,27000,35000,50000,20,30000,36000,52000,20,27000,31000,40000,25
CAH02-06,02,04,25000,28000,35000,540,25000,28000,35000,410,NA,NA,NA,NA,24000,30000,37000,35,26000,28500,34000,85
CAH02-06-01,01,03,25500,27500,28500,2920,25500,27500,28500,2620,25000,26000,27000,30,26000,30000,30000,125,25000,27000,28000,145
CAH02-06-01,01,04,25000,27000,33000,1115,25000,27000,30000,910,NA,NA,NA,NA,33500,37000,40000,130,25000,27000,27000,75
CAH02-06-01,02,03,28000,39000,45000,405,28000,39000,45000,360,25000,35000,51500,15,36000,46000,57000,15,27000,31000,40000,20
CAH02-06-01,02,04,25000,27500,34000,240,25000,27500,34000,180,NA,NA,NA,NA,NA,NA,NA,NA,25500,28000,32000,50
CAH02-06-02,01,03,24000,27000,30000,860,24000,27000,30000,685,24000,25000,27000,55,25000,28000,30000,70,25000,28000,32000,50
CAH02-06-02,02,03,25500,28000,33000,45,25500,28000,33000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-03,01,03,19000,21000,30000,775,19000,21500,29000,625,19000,21000,29000,25,19000,25000,39500,80,19000,21000,23000,40
CAH02-06-03,01,04,22000,24000,27000,15,22000,24000,26000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-03,02,03,20000,28000,37000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-03,02,04,24000,26000,29000,45,24000,25000,27000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-04,01,03,24000,29000,35000,210,22000,27500,33000,145,26000,30000,36000,35,NA,NA,NA,NA,30000,35500,39000,25
CAH02-06-04,02,03,30000,42000,47000,45,30000,42000,47000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-04,02,04,33000,40000,43000,10,33000,40000,43000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-05,01,03,26000,28000,28500,2360,26500,28000,28500,2000,25000,26000,27000,55,26000,30000,30000,145,26000,27500,28000,150
CAH02-06-05,02,03,26500,27000,28500,60,26000,27000,28500,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-06,01,03,25000,28500,33000,340,25000,28500,34000,240,24000,25000,29000,10,25000,30000,32000,60,26000,28000,34500,25
CAH02-06-06,01,04,20000,24000,29000,20,20000,23000,24000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-06,02,03,20500,27500,35000,30,19000,27500,35000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-06,02,04,21000,23000,25000,10,21000,23000,25000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-07,01,03,25000,27000,28500,1770,25000,27000,28500,1425,25000,26000,27000,65,26000,29500,30000,115,25500,27500,28500,165
CAH02-06-07,01,04,22000,25000,30000,50,22000,26000,30000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-07,02,03,25000,28500,33500,120,25000,28500,34000,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-07,02,04,25000,30000,38000,230,25000,30000,38500,175,NA,NA,NA,NA,26000,30000,42000,25,26000,30000,34000,30
CAH03,01,03,21000,25000,28000,13200,21500,25000,28000,11310,21000,23500,26000,275,21000,24000,28000,1025,20500,23000,26500,560
CAH03,01,04,16000,21000,24000,365,16000,21000,24000,335,NA,NA,NA,NA,19500,21000,23500,15,12000,18500,24000,15
CAH03,02,03,22000,26000,30000,485,22000,26000,30000,420,18000,25000,30000,20,20500,28000,29000,30,27000,32500,36000,15
CAH03,02,04,23500,30000,40000,50,23500,30000,40000,35,NA,NA,NA,NA,20000,25000,30000,10,NA,NA,NA,NA
CAH03-01,01,03,22000,25000,29000,7540,22000,25000,29500,6510,22000,24500,27000,135,22000,25000,28000,585,21500,24000,27000,290
CAH03-01,01,04,18500,21500,25000,105,18500,22000,25500,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01,02,03,22000,26000,30000,170,22000,25500,29500,155,NA,NA,NA,NA,28000,29000,36000,10,NA,NA,NA,NA
CAH03-01,02,04,27500,30000,42000,30,27000,30000,40000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-01,01,03,22000,25000,30000,1375,22000,25000,30000,1160,21000,24500,28000,30,23000,27000,30000,75,22500,24500,28000,110
CAH03-01-01,02,03,24000,28000,32500,65,23000,27000,30500,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-02,01,03,22000,25000,29000,1780,22000,25000,29000,1640,20000,22500,23500,20,22000,25000,28000,60,21500,23000,27000,50
CAH03-01-02,02,03,21000,25000,27500,40,21000,25000,27500,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-02,02,04,27000,28000,41000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-03,01,03,20500,23000,27000,880,20000,23000,27000,715,19000,24500,25500,15,22000,25000,28000,95,21000,21500,24500,45
CAH03-01-03,01,04,20000,22000,25500,50,20000,23000,25500,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-03,02,03,21000,25500,26000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-04,01,03,22000,25000,29000,340,22000,25000,29000,210,26000,26000,30000,20,22000,25000,27000,105,NA,NA,NA,NA
CAH03-01-05,01,03,24000,28000,32000,35,24000,30000,32000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-06,01,03,20000,22500,25000,925,20000,22000,25000,770,19000,22000,23500,15,21000,23000,26500,105,20000,23000,25500,35
CAH03-01-06,01,04,14500,20000,23000,35,14000,18500,23000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-06,02,03,20000,22500,24000,10,20000,22500,24000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-07,01,03,22500,26000,30000,210,23000,26000,30000,185,NA,NA,NA,NA,20000,25000,27000,20,NA,NA,NA,NA
CAH03-01-08,01,03,23500,27000,32000,1710,23000,27000,32000,1570,24000,26000,27500,30,23000,26000,30000,70,23000,25000,27000,35
CAH03-01-08,02,03,23000,28000,36000,30,25000,28000,37000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-10,01,03,22000,25000,30000,280,22000,25000,30000,220,NA,NA,NA,NA,21000,25000,29000,50,NA,NA,NA,NA
CAH03-02,01,03,20500,24000,28000,5660,21000,24000,28000,4805,20000,23000,25000,140,20000,23500,27000,440,19000,22500,26000,270
CAH03-02,01,04,16000,20000,24000,260,16000,20000,24000,240,NA,NA,NA,NA,NA,NA,NA,NA,12000,18500,24000,10
CAH03-02,02,03,22000,26000,30000,315,22000,26000,30000,270,18000,25000,30000,20,20000,26000,28000,20,NA,NA,NA,NA
CAH03-02,02,04,20000,25000,30000,25,21500,23500,42000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02-01,01,03,20500,24000,28000,5660,21000,24000,28000,4805,20000,23000,25000,140,20000,23500,27000,440,19000,22500,26000,270
CAH03-02-01,01,04,16000,20000,24000,260,16000,20000,24000,240,NA,NA,NA,NA,NA,NA,NA,NA,12000,18500,24000,10
CAH03-02-01,02,03,22000,26000,30000,315,22000,26000,30000,270,18000,25000,30000,20,20000,26000,28000,20,NA,NA,NA,NA
CAH03-02-01,02,04,20000,25000,30000,25,21500,23500,42000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04,01,03,21000,24000,27000,11130,21000,24000,27000,9910,18000,22000,24500,170,21000,23500,26500,635,20000,23000,25500,390
CAH04,01,04,22500,26000,28000,55,24000,26000,29000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04,02,03,22500,26000,30500,915,22000,25500,31000,775,21000,25000,30000,25,23000,27000,32000,80,23000,25000,29000,35
CAH04,02,04,21500,26000,38000,195,21500,26000,39000,170,NA,NA,NA,NA,21500,26000,30000,20,NA,NA,NA,NA
CAH04-01,01,03,21000,24000,27000,11130,21000,24000,27000,9910,18000,22000,24500,170,21000,23500,26500,635,20000,23000,25500,390
CAH04-01,01,04,22500,26000,28000,55,24000,26000,29000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01,02,03,22500,26000,30500,915,22000,25500,31000,775,21000,25000,30000,25,23000,27000,32000,80,23000,25000,29000,35
CAH04-01,02,04,21500,26000,38000,195,21500,26000,39000,170,NA,NA,NA,NA,21500,26000,30000,20,NA,NA,NA,NA
CAH04-01-01,01,03,21000,24000,27000,9705,21000,24000,27000,8680,18000,22000,24500,155,20500,23500,26500,525,20000,22500,25000,325
CAH04-01-01,01,04,17500,22000,26000,20,21000,22000,30000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-01,02,03,22500,26000,30500,860,22500,25500,30500,725,21000,25000,30000,25,24500,27000,32000,75,23000,25000,29000,35
CAH04-01-01,02,04,21500,25000,33000,165,21500,25000,33000,140,NA,NA,NA,NA,21500,26000,30000,20,NA,NA,NA,NA
CAH04-01-02,01,03,21000,24000,27000,945,21000,24000,27000,780,19000,24000,24500,10,21500,24000,27000,90,22500,24000,26000,60
CAH04-01-02,02,03,20000,22000,25000,30,18500,22000,31500,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-03,01,03,20000,23000,27500,165,20000,23000,27500,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-03,02,03,20000,23000,30000,10,20000,23000,30000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-04,01,03,21500,24000,26000,175,21500,24000,26000,160,NA,NA,NA,NA,20500,23000,28000,15,NA,NA,NA,NA
CAH04-01-04,01,04,25000,27000,29000,25,25000,27000,29000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-04,02,03,27000,28000,31000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,01,03,21000,24000,27000,135,21500,24500,27000,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,02,04,28000,36500,45000,25,28000,35000,42000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,01,03,29000,32000,36000,1595,30000,32500,36000,1290,30000,35000,36000,45,27000,31000,34000,180,29000,32000,34000,85
CAH05,01,04,23000,25000,26000,250,23000,25000,26000,235,NA,NA,NA,NA,NA,NA,NA,NA,24000,25000,25000,15
CAH05,02,03,25000,28000,28500,25,25000,28000,28500,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,02,04,28000,32000,35000,40,29000,32000,35000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,01,03,29000,32000,36000,1595,30000,32500,36000,1290,30000,35000,36000,45,27000,31000,34000,180,29000,32000,34000,85
CAH05-01,01,04,23000,25000,26000,250,23000,25000,26000,235,NA,NA,NA,NA,NA,NA,NA,NA,24000,25000,25000,15
CAH05-01,02,03,25000,28000,28500,25,25000,28000,28500,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,02,04,28000,32000,35000,40,29000,32000,35000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-01,01,03,30500,34000,36000,1300,31000,34000,37000,1065,33000,36000,36000,35,30000,33000,35000,130,30000,33000,35000,70
CAH05-01-02,01,03,23000,25000,27000,295,23000,25000,27500,225,NA,NA,NA,NA,22000,24000,25000,50,24500,26000,27500,15
CAH05-01-02,01,04,23000,25000,26000,245,23000,25000,26000,230,NA,NA,NA,NA,NA,NA,NA,NA,24000,25000,25000,15
CAH05-01-02,02,03,25000,28000,28500,25,25000,28000,28500,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-02,02,04,28000,32000,35000,40,29000,32000,35000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,01,03,21000,24000,27500,2185,21000,24000,27500,1765,22000,25000,30000,85,22000,25000,28000,215,19500,22500,26000,120
CAH06,01,04,18000,22500,27000,605,18500,23000,27000,490,NA,NA,NA,NA,18500,22000,28000,90,14000,19000,22000,25
CAH06,02,03,23000,27500,30000,60,23000,27000,30000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,02,04,26000,30000,35000,140,23000,29000,32000,75,NA,NA,NA,NA,29000,30000,37500,55,20000,22000,28000,15
CAH06-01,01,03,21000,24000,27500,2185,21000,24000,27500,1765,22000,25000,30000,85,22000,25000,28000,215,19500,22500,26000,120
CAH06-01,01,04,18000,22500,27000,605,18500,23000,27000,490,NA,NA,NA,NA,18500,22000,28000,90,14000,19000,22000,25
CAH06-01,02,03,23000,27500,30000,60,23000,27000,30000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01,02,04,26000,30000,35000,140,23000,29000,32000,75,NA,NA,NA,NA,29000,30000,37500,55,20000,22000,28000,15
CAH06-01-01,01,03,20000,22000,24500,930,20000,22000,24500,835,NA,NA,NA,NA,21500,23000,25000,35,18000,21000,23000,50
CAH06-01-01,01,04,18000,20000,24000,85,18000,20500,24000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,02,03,20000,23000,29000,25,18500,21500,29000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,02,04,20000,27000,31500,20,18000,27000,32000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-02,01,03,24000,26000,28000,25,24000,26000,28000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-03,01,03,23000,26000,30000,770,24000,26500,30000,590,22000,28000,32000,45,21500,25000,29000,90,20000,24000,28000,40
CAH06-01-03,01,04,18000,21000,25000,310,18000,22000,26000,240,NA,NA,NA,NA,17000,20000,23000,55,19000,20000,23000,10
CAH06-01-03,02,03,24000,27500,31000,25,24000,26000,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-03,02,04,26000,30500,37500,55,28000,30500,37500,15,NA,NA,NA,NA,30000,32000,40000,30,NA,NA,NA,NA
CAH06-01-04,01,03,21000,24000,25000,50,19500,23000,25000,30,NA,NA,NA,NA,23500,25000,29000,15,NA,NA,NA,NA
CAH06-01-04,01,04,20500,24000,28000,25,NA,NA,NA,NA,NA,NA,NA,NA,20000,24000,29500,15,NA,NA,NA,NA
CAH06-01-05,01,03,24000,26000,27000,50,24000,25000,27500,25,NA,NA,NA,NA,25500,27000,27000,15,NA,NA,NA,NA
CAH06-01-05,01,04,23000,28000,29500,30,21000,23000,28000,10,NA,NA,NA,NA,27000,29000,29500,15,NA,NA,NA,NA
CAH06-01-05,02,04,28500,30000,35500,30,NA,NA,NA,NA,NA,NA,NA,NA,28500,30000,35000,20,NA,NA,NA,NA
CAH06-01-06,01,03,22500,26000,28500,85,24500,26000,30000,30,22000,24000,24000,10,22000,26500,28000,40,NA,NA,NA,NA
CAH06-01-06,01,04,26000,30000,35000,70,26000,30000,35000,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-06,02,04,23000,28000,29500,20,23000,28000,29500,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-07,01,03,24000,27000,29500,220,24000,27000,30000,185,NA,NA,NA,NA,22000,24000,27000,15,NA,NA,NA,NA
CAH06-01-07,01,04,20000,25000,26000,30,20000,25000,26000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-07,02,03,28000,35000,55000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-08,01,03,23000,27000,30000,60,24000,27000,30000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-08,01,04,17000,21000,28000,60,17000,20500,28000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07,01,03,24000,28000,32500,8160,24000,28000,33000,7175,24000,26000,28000,115,23500,27000,31000,585,21000,24500,28000,265
CAH07,01,04,18000,23000,24500,20,12000,23000,23000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07,02,03,24000,29000,37000,260,23000,29000,36000,210,NA,NA,NA,NA,29000,36000,42000,30,24000,27000,32500,15
CAH07,02,04,25000,40000,46500,100,28000,40000,47000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01,01,03,25500,30000,35000,3245,26000,30000,35000,2815,23500,27000,30000,65,25000,28500,33000,265,22500,26500,29000,95
CAH07-01,02,03,25000,29000,45000,60,25000,30000,47500,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01,02,04,28000,66000,100000,15,39000,66000,126000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01-01,01,03,26000,30000,35000,2910,26500,30000,35000,2540,23500,25500,30000,60,25000,28500,33000,230,22500,26500,30000,80
CAH07-01-01,02,03,24000,28500,36000,55,24000,28500,36000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01-02,01,03,24500,29000,33500,340,24500,29500,34000,280,NA,NA,NA,NA,24000,28500,32500,35,23000,25000,28000,15
CAH07-02,01,03,24000,27000,32000,3135,24000,27500,32000,2765,25000,26500,27000,40,23500,26000,30000,210,21000,24500,28000,105
CAH07-02,02,03,27500,33500,40000,35,27500,33500,39500,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-02,02,04,25000,31000,37000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-02-01,01,03,24000,27000,32000,3135,24000,27500,32000,2765,25000,26500,27000,40,23500,26000,30000,210,21000,24500,28000,105
CAH07-02-01,02,03,27500,33500,40000,35,27500,33500,39500,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
