PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTUNAVAILREASON,ENTPOP,ENTAGG,ENTAGGYEAR,ENTYEAR1,ENTYEAR2,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000291,10000291,K00139,1,0,20,24,2021-23,2022-23,2021-22,,0,95,0,5,0,0,0,0
10000291,10000291,K00141,1,0,10,14,2022-23,2022-23,,,0,75,0,10,0,10,0,10
10000291,10000291,K00142,1,0,25,14,2022-23,2022-23,,,5,65,0,0,0,10,10,15
10000291,10000291,K00143,1,0,20,14,2022-23,2022-23,,,0,85,0,5,0,5,0,5
10000291,10000291,K00144,1,0,10,14,2022-23,2022-23,,,10,85,0,10,0,0,0,0
10000291,10000291,K00145,1,0,10,14,2022-23,2022-23,,,0,65,0,10,0,0,0,25
10000291,10000291,K00147,1,0,10,14,2022-23,2022-23,,,10,80,0,10,0,0,0,0
10000291,10000291,K00150,2,0,15,14,2022-23,2022-23,,,0,45,0,40,0,0,0,15
10000291,10000291,K00157,1,0,105,14,2022-23,2022-23,,,3,95,0,0,0,0,1,1
10000291,10000291,K00158,1,0,35,14,2022-23,2022-23,,,10,85,0,0,0,5,5,0
10000291,10000291,K00162,1,0,55,13,2022-23,2022-23,,CAH13-01-02,5,75,0,5,0,7,0,7
10000291,10000291,K00163,1,0,15,14,2022-23,2022-23,,,0,95,0,0,0,0,5,0
10000291,10000291,K00167,1,0,35,13,2022-23,2022-23,,CAH15-04-02,5,60,0,0,0,0,5,25
10000291,10000291,K00170,1,0,85,14,2022-23,2022-23,,,0,83,0,2,0,1,10,3
10000291,10000291,K00179,1,0,15,24,2021-23,2022-23,2021-22,,0,95,0,0,0,0,0,5
10000291,10000291,K00182,1,0,60,14,2022-23,2022-23,,,2,77,0,0,0,8,0,13
10000291,10000291,K00188,1,0,170,14,2022-23,2022-23,,,4,82,2,0,0,2,6,5
10000291,10000291,K00189,1,0,25,24,2021-23,2022-23,2021-22,,15,85,0,0,0,0,0,0
10000291,10000291,K00191,1,0,35,14,2022-23,2022-23,,,10,75,5,5,0,0,0,10
